"","coded_country","Political_score","Average_vaccinated","gdp_per_person","Ladder_score","Average_deaths_per_week","Average_labour_rate"
"180","Seychelles",0.65059757232666,87.8141025641026,26382.287,NA,NA,NA
"181","Syrian Arab Republic",-0.51883864402771,NA,NA,NA,NA,NA
"182","Chad",-1.37401640415192,0.721470588235294,1768.153,4.35540008544922,NA,NA
"183","Togo",-1.37212538719177,11.5225925925926,1429.813,4.1068000793457,NA,NA
"184","Thailand",0.099299393594265,50.7776335877863,16277.671,5.9847002029419,NA,NA
"185","Tajikistan",-0.957298815250397,22.7306666666667,2896.913,5.46619987487793,NA,NA
"186","Turkmenistan",-1.51512265205383,0.8,16389.023,5.06640005111694,NA,NA
"187","Timor-Leste",-1.18563520908356,NA,NA,NA,NA,NA
"188","Tonga",-0.328386217355728,56.4026086956522,5425.621,NA,NA,NA
"189","Trinidad and Tobago",0.391060173511505,47.7123505976096,28763.071,NA,NA,NA
"190","Tunisia",-0.00149573176167905,40.1175619834711,10849.297,4.59649991989136,NA,NA
"191","Türkiye",0.365056276321411,NA,NA,NA,1175.21153846154,50.1833333333333
"192","Tuvalu",-0.47755566239357,64.9414285714286,3575.104,NA,NA,NA
"193","Taiwan, China",1.13882541656494,NA,NA,NA,NA,NA
"194","Tanzania",-0.660571336746216,1.41222222222222,2683.304,3.62319993972778,NA,NA
"195","Uganda",-0.559457004070282,1.84878504672897,1697.707,4.63649988174438,NA,NA
"196","Ukraine",-0.867093980312347,22.193064516129,7894.393,4.87480020523071,NA,NA
"197","Uruguay",0.539623916149139,125.291720779221,20551.409,6.43139982223511,NA,NA
"198","United States",1.5137984752655,89.195095890411,54225.446,6.95149993896484,11982.129532967,69.4484866666667
"199","Uzbekistan",-0.698397278785706,62.3989814814815,6253.104,6.17880010604858,NA,NA
"200","St. Vincent and the Grenadines",0.83737301826477,NA,NA,NA,NA,NA
"201","Venezuela, RB",-1.13208639621735,NA,NA,NA,NA,NA
"202","Virgin Islands (U.S.)",1.24453473091125,NA,NA,NA,NA,NA
"203","Vietnam",-0.209270849823952,34.2517509727627,6171.884,5.41079998016357,NA,NA
"204","Vanuatu",-0.213237464427948,18.8004166666667,2921.909,NA,NA,NA
"205","West Bank and Gaza",-0.598154127597809,NA,NA,NA,NA,NA
"206","Jersey, Channel Islands",1.44963026046753,NA,NA,NA,NA,NA
"207","Yemen, Rep.",-1.15728986263275,NA,NA,NA,NA,NA
"208","Serbia",-0.132481977343559,63.3419796954315,14048.881,6.07789993286133,NA,NA
"209","South Africa",0.217559650540352,15.7265277777778,12294.876,4.95639991760254,NA,37.0644233333333
"210","Congo, Dem. Rep.",-1.68099594116211,NA,NA,NA,NA,NA
"211","Zambia",-0.682568550109863,2.72130136986301,3689.251,4.07340002059937,NA,NA
"212","Zimbabwe",-1.42085576057434,19.0685069444444,1899.775,3.14479994773865,NA,NA
